CHR/ IB Item ID,Customer Name,Site Name,Customer location (Country),Project/ BAU,FEB Reference,Task Received Date,month,Task Accept Date,Request place date,Task close date,Date of Install,INSTALL TIME,CHR Value,Curr.,Converted to USD,Duration Hour,Additional hrs,quote received,Neeco- Basic,Neeco - addi,SGS-Basic,SGS - addi,NSC- Basic,Travel/cable /nuts,NSC - addi,Supplier,Basic Hrs,Additional hrs ,Curr. ,Basic saving,Cost optimization,Additional hrs  ,Final Charges,FE received Date- Vendor,FE details shared - Requestor,FE Name,FE Contact No.,Task Regarding,Requestor name,PO NO,Remarks,IN TIME,OUT TIME,closed,Quote ETA,"Request received, validated - Accepted/Rejected",Order placing to vendors,Expected ETA from vendor,Provide ETA & FE details to internal team,Closer Measurement,Task Acceptance,FE closure,quote received date,SVR Received date,PO Created date,CLOSURE STATUS
CHR001000000,Deutsche Telekom,Deutsche Telekom - Germany,Germany,Project,FEB6241752544,05/05/2024,May-2024,05/05/2024,05/05/2024,05/13/2024,05/08/2024,16:15,881.76,USD,881.76,7.0,5.0,05/05/2024,0.0,0.0,0.0,0.0,529.06,51.25,150.0,NSC,7.0,5.0,USD,30.1,30.1,5.0,851.66,05/05/2024,05/06/2024,Sarah Johnson,+1 877 3615,FE detail Received,Rahul,4556722344,,16:15,23:15,05/13/2024,3,MET,MET,Not Met,MET,MET,Not Met,MET,05/05/2024,05/13/2024,05/05/2024,TASK CLOSE
CHR001000001,Airtel Africa,Airtel Africa - UAE,UAE,BAU,FEB3840104345,11/05/2024,Nov-2024,11/06/2024,11/06/2024,11/12/2024,11/07/2024,11:00,768.92,USD,768.92,6.8,1.2,11/06/2024,461.35,36.0,0.0,0.0,0.0,64.11,0.0,Neeco,6.8,1.2,USD,48.93,48.93,1.2,719.99,11/06/2024,11/07/2024,Maria Santos,+11 975 4814,FE detail Received,Deepa,4513556182,,11:00,17:00,11/12/2024,4,MET,MET,MET,MET,Not Met,MET,MET,11/06/2024,11/12/2024,11/06/2024,OPEN TASK
CHR001000002,Huawei,Huawei - Kenya,Kenya,BAU,FEB8752612686,11/21/2024,Nov-2024,11/21/2024,11/21/2024,12/05/2024,11/30/2024,08:15,380.98,USD,380.98,3.0,0.5,11/21/2024,0.0,0.0,228.59,15.0,0.0,38.08,0.0,SGS,3.0,0.5,USD,165.25,165.25,0.5,215.73,11/21/2024,11/22/2024,Chen Wei,+9 316 6155,FE detail Received,Anandhy,4587971488,,08:15,11:15,12/05/2024,4,MET,Not Met,MET,MET,MET,Not Met,MET,11/21/2024,12/05/2024,11/21/2024,TASK CLOSE
CHR001000003,Deutsche Telekom,Deutsche Telekom - Singapore,Singapore,BAU,FEB6947530309,10/26/2024,Oct-2024,10/27/2024,10/27/2024,11/09/2024,11/06/2024,18:45,341.5,USD,341.5,3.4,1.0,10/27/2024,0.0,0.0,204.9,30.0,0.0,51.71,0.0,SGS,3.4,1.0,USD,74.0,74.0,1.0,267.5,10/27/2024,10/28/2024,Anna Kowalski,+60 641 5119,FE detail Received,Priya,4501540956,,18:45,21:45,11/09/2024,1,MET,MET,MET,MET,Not Met,MET,MET,10/27/2024,11/09/2024,10/27/2024,TASK CLOSE
CHR001000004,Seven For All Mankind,Seven For All Mankind - UK,UK,Project,FEB3098545541,08/20/2024,Aug-2024,08/20/2024,08/20/2024,08/29/2024,08/25/2024,10:00,331.92,USD,331.92,5.0,0.5,08/20/2024,0.0,0.0,199.15,15.0,0.0,17.83,0.0,SGS,5.0,0.5,USD,106.09,106.09,0.5,225.83,08/20/2024,08/21/2024,Chen Wei,+47 999 6038,FE detail Received,Anandhy,4507774584,,10:00,15:00,08/29/2024,2,Not Met,Not Met,MET,MET,MET,MET,MET,08/20/2024,08/29/2024,08/20/2024,TASK CLOSE
CHR001000005,Seven For All Mankind,Seven For All Mankind - Indonesia,Indonesia,Project,FEB2939118223,12/03/2024,Dec-2024,12/04/2024,12/04/2024,12/14/2024,12/13/2024,18:30,426.94,USD,426.94,3.1,0.9,12/04/2024,0.0,0.0,256.16,27.0,0.0,27.35,0.0,SGS,3.1,0.9,USD,96.76,96.76,0.9,330.18,12/04/2024,12/05/2024,Anna Kowalski,+9 446 1344,FE detail Received,Priya,4574346088,,18:30,21:30,12/14/2024,2,MET,MET,Not Met,MET,MET,MET,MET,12/04/2024,12/14/2024,12/04/2024,TASK CLOSE
CHR001000006,Hilton Hotels,Hilton Hotels - UAE,UAE,Project,FEB6816663775,09/20/2024,Sep-2024,09/20/2024,09/20/2024,09/30/2024,09/25/2024,09:00,517.01,USD,517.01,3.9,0.5,09/20/2024,0.0,0.0,310.21,15.0,0.0,38.78,0.0,SGS,3.9,0.5,USD,111.06,111.06,0.5,405.95,09/20/2024,09/21/2024,Ismail Ahmed,+94 155 2612,FE detail Received,Renuka,4554038913,,09:00,12:00,09/30/2024,3,Not Met,MET,MET,MET,MET,Not Met,MET,09/20/2024,09/30/2024,09/20/2024,TASK CLOSE
CHR001000007,Deutsche Telekom,Deutsche Telekom - Indonesia,Indonesia,Project,FEB7380780055,08/24/2024,Aug-2024,08/24/2024,08/24/2024,08/29/2024,08/26/2024,11:15,329.37,USD,329.37,5.2,0.9,08/24/2024,0.0,0.0,197.62,27.0,0.0,24.96,0.0,SGS,5.2,0.9,USD,163.03,163.03,0.9,166.34,08/24/2024,08/25/2024,Omar Hassan,+52 160 3697,FE detail Received,Supriya,4500289289,,11:15,16:15,08/29/2024,4,MET,Not Met,MET,MET,MET,MET,MET,08/24/2024,08/29/2024,08/24/2024,TASK CLOSE
CHR001000008,Seven For All Mankind,Seven For All Mankind - USA,USA,BAU,FEB9884231465,04/07/2024,Apr-2024,04/08/2024,04/08/2024,04/12/2024,04/12/2024,16:00,1023.58,USD,1023.58,11.8,4.2,04/08/2024,0.0,0.0,0.0,0.0,614.15,14.76,126.0,NSC,11.8,4.2,USD,7.87,7.87,4.2,1015.71,04/08/2024,04/09/2024,Kwame Mensah,+31 513 2964,FE detail Received,Priya,4533046464,,16:00,23:00,04/12/2024,5,MET,MET,MET,MET,Not Met,MET,Not Met,04/08/2024,04/12/2024,04/08/2024,CANCELLED
CHR001000009,SGS S.A.,SGS S.A. - India,India,BAU,FEB3309122187,12/08/2024,Dec-2024,12/10/2024,12/10/2024,12/17/2024,12/16/2024,17:00,951.85,USD,951.85,8.7,2.5,12/10/2024,0.0,0.0,0.0,0.0,571.11,45.41,75.0,NSC,8.7,2.5,USD,31.06,31.06,2.5,920.79,12/10/2024,12/11/2024,Elena Ivanova,+17 457 2127,FE detail Received,Anandhy,4549597086,,17:00,23:00,12/17/2024,3,MET,Not Met,Not Met,MET,Not Met,Not Met,Not Met,12/10/2024,12/17/2024,12/10/2024,TASK CLOSE
